globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson
1154,1054,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,944989230,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1155,1055,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1011995983,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1156,1056,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,1079002736,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_1;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1157,1057,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,3|2,3,,724504880,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
1158,1058,BASE,MEDIUM_WIN,WIN,5,,GENERATED,LINE,0,3,NONE,NONE,false,,1,,2146092637,false,0,,NOT_ELIGIBLE,,SUCCESS,5,5,true,1,LINE,"[{""eventId"":""LINE_0_H1_3"",""ruleType"":""LINE"",""winAmount"":5,""paidSymbolId"":""H1"",""displaySymbolId"":""H1"",""positions"":[[0,0],[0,1],[0,2]],""matchCount"":3,""paylineIndex"":0,""metadata"":{}}]"
1159,1059,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1280022995,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1160,1060,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1540795735,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1161,1061,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1473788982,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1162,1062,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1406782229,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1163,1063,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,1339775476,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1164,1064,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1272768723,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1165,1065,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1205761970,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1166,1066,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,1138755217,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1167,1067,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,3,,1071748464,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
1168,1068,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,1004741711,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1169,1069,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,937734958,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1170,1070,BASE,BIG_WIN,WIN,20,,GENERATED,LINE,3,4,NONE,NONE,false,,1,,995676002,false,0,,NOT_ELIGIBLE,,SUCCESS,20,20,true,1,LINE,"[{""eventId"":""LINE_3_H1_4"",""ruleType"":""LINE"",""winAmount"":20,""paidSymbolId"":""H1"",""displaySymbolId"":""H1"",""positions"":[[0,0],[1,1],[2,2],[1,3]],""matchCount"":4,""paylineIndex"":3,""metadata"":{}}]"
1171,1071,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,603420361,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;SUCCESS,0,0,true,0,,
1172,1072,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,670427114,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
1173,1073,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,737433867,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
